YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
1981,1140,782,Bombay,Himalaya Publishing House,TEXT MATERIAL,Cell Biology,C.B. Powar
1995,7385,99,Japan,"Central Department of Geology , TU, Japan International cooperation Agency",TEXT MATERIAL,Himalayan Metamorphic Rocks in thin Section,Koshiro Kizaki
2013,8024,526,"Bhotahity, Kathmandu",Asmita Books Publishers & Distributors (P) Ltd.,TEXT MATERIAL, Accounting for Financial analysis & Planning ( Bittia bishleshan tatha yojana lekhabidi),Yadav Raj Koirala | Rajeshwor Prasad Acharya | Padam Raj Joshi | Ashok Kumar Jha | Shree Ratna Shakya | Shiva Prasad Poudel | Jogindar Goiet | Ram Krishna Dhakal | Binod Shaha | Arun Neupane | Dilli Ram Bhandari | Devi Lal Sharma | Shiva Prasad Sapkota | Ram Prasad Neupane
2060,2400,349,"Bhotahity, Kathmandu",M.K. Publishersh and Distribution,TEXT MATERIAL,Government and Politics of Nepal and India,Krishna Pokheral
2011,6582,57,"Kathmandu, Nepal","Central Department of Sociology, TU",TEXT MATERIAL,Situtation of Domestic Child Servants in Nepali Society a Case Study of Kathmandu Ward No. 33,Shovana Palikhel
2008,6894,746,New Delhi,Universities Press,TEXT MATERIAL,Textbook of Microbiology,R. Ananthanarayan | C.K. Jayaram Paniker
2004,51,755+Index+Tables,South Western,Thomson,TEXT MATERIAL,Fundamentals of Financial Management,Eugene F. Brigham | Joel F. Houston
2057,6518,132,"Kathmandu, Nepal",Sharmila Sigdel,TEXT MATERIAL,"Nepalko Itihas, Sanskriti ra Puratatwo ( Nepalese History , Culture & Archaeology)",Dol Raj Kafle
1990,1001,241E1,New Delhi,Pragati Prakashan,TEXT MATERIAL,Practical Physics Vol.2,Dr. S.L. Gupta | Dr. V. Kumar
2008,4059,423,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Quantum Physics  vol. 4,Eyvind H. Wichman
2013,12253,74,"Bharatpur, Chitwan","Depatment Of Physics , Birendar Multipel Campus",TEXT MATERIAL,"A Study On Quality Assurance Of LIner Accelerator AT B.P. Koirala Memorial Cancer Hospital, Chitwan","Poudyal, Tek Nath"
2005,14,422,"Bhotahity, Kathmandu",M.K. Publishers & Distributors,TEXT MATERIAL,Principles of Mangement in Nepal,Dr. Govind Ram Agrawal
2021,13890,392,"Kathmandu, Nepal",Asmita Books Publishers  Distributors P Ltd.,TEXT MATERIAL,"Operations Management for BBA, BIM",Azaya Bikram Sthapit | Rashindra Prasad Yadav | Go
2060,6706,404,"Kathmandu, Nepal",Taleju Prakashan,TEXT MATERIAL,Economics of Nepal (Nepalko Arthsastra),Shyam Joshi
2069,7228,268,"Kathmandu, Nepal",Chandani Prakashan Pvt. Ltd.,TEXT MATERIAL,Nepali Geet Sangraha,Byakul Mahila
2054,6457,489,South Sikkim,Nirman Prakashan,TEXT MATERIAL,"Parijatka Sankalit Rachanaharu, Vol. 2",Nirman Prakashan
2006,1323,1130,New Delhi,S. Chanda & Company,TEXT MATERIAL,General and Applied Ichthyology:,S.K. Gupta | P.C. Gupta
2009,6395,912,New Delhi,S.Chanda & Company,TEXT MATERIAL,A Textbook of Microbiology,R.C. Dubey | D.K. Maheshwari
2014,8683,1334-1890+I 46,New York,Cold Spring Harbor Laboratory Press,TEXT MATERIAL,Molecular Cloning Vol. III : A Laboratory Manual,Michael R. Green | Joseph Sambrook
