YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2067,6969,818,Delhi,A.I.T.B.S. Publishers & Distributors,TEXT MATERIAL,International Relations:,Norman D. Palmer | Howard C. Perkins
2012,7744,64,"Birendra Multiple Campus , Bharatpur, Chitwan",Department of English,TEXT MATERIAL,Politics of Power in Charlotte Bronte's Novel Jane Eyre,Madhab Adhikari
2006,2230,40,"Bharatpur, Chitwan","M.A . Economics, Birendra Multiple Campus",TEXT MATERIAL,paddy production,Dharma Raj Subedi
2015,12368,54,"Bharatpur ,Chitwan","Department Of Economic,Birendra Multipel Campus",TEXT MATERIAL,The Role Of Deficit Financing In The Budetary Structure Of Nepal,"Chapagain,Krishna Prasad"
2068,7566,328,"Kathmandu, Nepal",Divya Deurali Prakashan,TEXT MATERIAL,Analysis of Social Institutions & Processes (Samajik Sanstha Ra Prakriyaharuko Bishleshan),Prof. Dr. Padamlal Devkota | Netra Kumar Ojha
1994,5612,34,"Kathmandu, Nepal",Suman Nepal,TEXT MATERIAL,BP's Economic Thought,Chiranjibi Nepal
1985,1159,459,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Principles of Genetics,Edmund W. Sinnott | L.C. Dunn
1979,5592,152,"Kathmandu, Nepal","Research Centre for Nepal & Asian Studies, T.U.",TEXT MATERIAL,The Use & Misuse of Social Science Research in Nepal,J. Gabriel Campbell | Ramesh Shrestha | Linda Stone
2026,7976,843,"Kathmandu, Nepal","Rajdarbar,  Sachiwalaya",TEXT MATERIAL,Shree 5 Badamaraj Prithivi Narayan Shah vol.4,Baburam Acharya
1985,5624,288,"Meerut, India",Pragati Prakashan,TEXT MATERIAL,Tensor Calculus and Reimannian Geometry,J.K.Goyal | K.P.Gupta
1987,3967,158+Others,New Delhi,Sterling Publishers,TEXT MATERIAL,World Constitutions,Vishnoo Bhagwan | Vidya Bhashan
0,3677,1976,Delhi,New Delhi,TEXT MATERIAL,Public Finance,Otto Eckstein
2001,5643,553,New Delhi,Oxford & IBH Publishing,TEXT MATERIAL,Introduction to Econometircs,G. M.K. Madnani
1987,5705,164,Philandelphia,Chelsea House Publishers,TEXT MATERIAL,Arthur Miller,Harold Bloom
1997,1532,523,Delhi,A.I.T.B.S. Publishers & Distributors,TEXT MATERIAL,An Introduction to a Mathematical Treatment of Economics,G.C. Archibald  | Richard G. Lipsey
2012,7793,50,"Bharatpur, Chitwan","Department of English, Birendra Multiple Campus, T.U",TEXT MATERIAL,Role of Foreign Aid in Nepal With Special Reference to Agriculture Sector,Sajjan Poudel
2005,84,731,New york,McGraw- Hill International,TEXT MATERIAL,Organizational Behavior,Fred Luthans
2078,11155,380 p,Kathmandu,Asmita Books Publisher and Distribution,TEXT MATERIAL,Organizational Behaviour and Human Resource Management (BBS SECOND  YEAR),"Acharya, Bhawani Shanker"
2062,1960,224,"Narayangard, Chitwan",Gyan Jothi Pustak Bhandar,TEXT MATERIAL,Aadharbhut Bikraya,Baikuntha Prasad Bhusal
1983,3644,560,London,Addison -Wesley,TEXT MATERIAL,"Money,The Financial System, and Economic policy",S. Kerry Cooper | Donald R.Fraser | Gene C.Uselton
1996,9511,69,"Kathmandu, Nepal",International Centre for Integrated Mountain Development,TEXT MATERIAL,Landslide Studies and Management in Nepal ( Photocopy ),B.N. Upreti | M.R. Dhital
1995,1875,644,New Delhi,Wishwa Prakashan,TEXT MATERIAL,Fundamentals of Chemistry Vol.2:,S.C. Mahapatra | Bidyabati Misra
2062,6157,309,"Bhotahiti, kathmandu",vidhyarthi Pustak Bhandar,TEXT MATERIAL,An introduction to sociology and anthropology,Res raj Adhikari
1995,4385,767,New York,John Wiley & Sons,TEXT MATERIAL,Project Management:,Jack R. Meredith | Samuel J. Mantel
1970,1781,420,New Delhi,Oxford & IBH Publishing Company,TEXT MATERIAL,Economic Systems:,George N. Halm
2049,6605,79,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Ritu Bichar,Lekh Nath Poudyal
0,5360,56,,Nepal sarkar,TEXT MATERIAL,Samahit siksha ra balmaitri bidhyala : Bidhyala sahayogi samagri,Unesco
2002,1351,1362,Mumbai,Himalaya Publishing House,TEXT MATERIAL,Fundamentals of Statistics,S.C. Gupta
2077,11137,480,Kathmandu,Nepal Prgya Prathisthan,TEXT MATERIAL,Darshana wali - 6,"Upadhyay,Jugat Prvat, Bhishnu"
1997,1799,231,"Kathmandu, Nepal",Educational Enterprises,TEXT MATERIAL,In The Name of Development:,Nanda R. Shrestha
1999,4541,218,New Delhi,Cambridge University press,TEXT MATERIAL,Study Skills in English,Michael J. Wallace
2021,13577,58,"Bharatpur,Chitwan","Department of Chemistry,Birendra Multiple Campus",TEXT MATERIAL,"Spectrometric Profiling Of Phytochemicals And Estimation Of Total Flavonoids ,Phenols And Anti-Oxidant Activity In the Methanolic Extract of the Rhizomies Of Paris Polyphylla(Satuwa)","Magar,Paurakha Gharti"
1986,3725,199,Bombay,Oxford University Press,TEXT MATERIAL,A Practical English Grammar Exercises 2,A.J. Thomson | A.V. Martinet
2052,3167,485,Kathmandu,Taleju Prakashan,TEXT MATERIAL,Monetary Economics (Maudrik siddant ebam Niti),Gorakha Raj Ojha | Bhoj Raj Ojha
2000,526,452,New York,Perennial Classics,TEXT MATERIAL,The Mambo Kings Play Songs of love:,Oscar Hijuelos
2058,7075,471,Kathmandu,Taleju Prakashan,TEXT MATERIAL,Public Economics for MA and MPA,Dr. Shyam Joshi
2008,6840,1144,New Delhi,S. Chand & Company,TEXT MATERIAL,Essentials of Physical Chemistry,Arun Bahl | B.S. Bahl | G.D. Tuli
2066,6655,607,,Pradeep Mani Regmi,TEXT MATERIAL,Juhi Vol.60,Pradeep Mani Regmi
2011,6868,60,"Bharatpur, Chitwan, Nepal","Department of Economics, Birendra Multiple Campus",TEXT MATERIAL,"Trend of Internal Migration: A case study of the simara VDC, of Bara District Nepali",Dambar Khadka
1991,1086,627,New Delhi,Prentice-Hall,TEXT MATERIAL,Introductory Plant Physiology,G.Ray Noggle | George J. Fritz
1993,3798,450,New Delhi,Wiley estarn ltd,TEXT MATERIAL,Numerical Methods for scientific and engineering computation,M.K.Jain | S.R.K.Iyengar | R.K. Jain
2055,3478,508,"Bhotahity, Kathmandu",Ratna Pustak Bhandar,TEXT MATERIAL,Aarthik Bishleshan ( Macro and Micro): Economic Analysis ,Yogendra Timilsina
1989,3392,310,New Delhi,Himalayan Publishing House,TEXT MATERIAL,Rise and Growth of Modern Japan,M.D.David
1977,2414,153,New Delhi,Prentice Hall of India,TEXT MATERIAL,Modern Political Analysis,Robert A. Dahl
2060,3409,236,"Kathmandu, Nepal",Basundhara Ghimire,TEXT MATERIAL,Nepalko Sarbangin Arthik Bikash,Basanta Ghimire
2012,7665,223,"Kirtipur, Kathmandu, Nepal",kirti Prakashan,TEXT MATERIAL,"Migration, Urbanization and Devlopment",Padma Prasad Khatiwada
2008,3954,397,,Rabin Gurung,TEXT MATERIAL,Foreigners in Japan:,Gopal Kshetry
0,5374,66,Nepal Kathmandu,"Nepal Goovernment , Ministry of Health: National Centre for AIDS and STD control ( NCASC)",TEXT MATERIAL,Status of the 2005 National response to the UNGASS declaration of commitment oHIV/AIDS,Governent of Nepal
2066,6652,1085,Kathmandu,"Nepal Pragatisil Pradhyapak Sangathan, Kendriya Samiti",TEXT MATERIAL,Gantabya: Anusandhanatmak Patrika,Bijaya Bahadur Silwal
2004,6698,787,New Delhi,Vrinda Publications (P) Ltd.,TEXT MATERIAL,Macro-Economic Theory,M.L. Jhingan
2071,9563,78,"Bharatpur, Chitwan","Department of Sociology, Birendra Multiple Campus,T.U.",TEXT MATERIAL,Ekal mahila ( Bidhwa) haruko samajik tatha arthik abastha ( chitwan jill bharatpur nagarpalika ward no.13 ma adharit adhyayan ),Jaya Ram Bhandari
2006,10812,280,England,Terra Publishing,TEXT MATERIAL,"Sedimentary Structures, PHOTOCOPY",J.D. Collinson | Nigel Mountney | D.B. Thompson
1975,13728,338,,The Patna Jesuti Society,TEXT MATERIAL,The Rise Of  the House Of Gorkha,"Stiller,ludwig"
1996,5225,155,"Kathmandu,Kirtipur","Central Department of Population studies, T.U.",TEXT MATERIAL,"Population and Development in Nepal, Photocopy",Bal Kumar K.C
2066,8615,298,"Pradshani Marg, Kathmandu",Pradhan Book House,TEXT MATERIAL,A Textbook on Human Resource Management,Sherjung Khadka
2048,6193,442,"Balaju, Kathmandu",Siddartha Banasthali Praggic parishad,TEXT MATERIAL,Devkotaka Pramukh Kabita kritiko kalkramic bibechana,Dr. Kumar Bahadur Joshi
0,6321,233,"Thapathali, Kathmandu",Ekata Prakashan,TEXT MATERIAL,Nepali Sahityaka Samalochak ra samalochana,Narendra Prasain
2066,5446,258,"Pradarshani Marg, kathmandu",Lumbini Prakashan,TEXT MATERIAL,Aadhunik Nepali Aakhyan Ra Natak,Kashiram Devkota
2060,4448,331,Chabel Kathmandu,Vava Pustak Bhandar,TEXT MATERIAL,"Anibarya nepali :( byakaran, bodh, avibyakti ra kriti samiksha)",Dr. Ghanashyam Neupane | Dharmendra Bhattrai
1973,5837,307,London,The English Universities Press Ltd.,TEXT MATERIAL,Political Thought,C.L. Wayper | C.W. Parkin
1988,6511,667,New Delhi,Kalyani Publishers,TEXT MATERIAL,Agricultural Production Functions,Earl O Heady | John L. Dillon
2062,7014,458+a245,"Dilli Bazar , Kathmandu",Sopan Masik,TEXT MATERIAL,Tin Barsiya Antarim Yojana 2064/65  - 2066/67,Murari Niraula
2009,4307,117,"Patandhoka, Lalitpur","Patan Multiple Campus, Department of Management (MBS), T.U.",TEXT MATERIAL,Advertising media impact on consumer buying behavior,Prabindu Maharjan
1956,2635,421,New Delhi,Amerind Publishing Co.,TEXT MATERIAL,Political Behavior,Heinz Eulau | Morris Janowitz | Samuel J. Eldersveld
1986,1387,408,Meerut,Pragati Prakashan,TEXT MATERIAL,Linear Programming,S.K. Mittal | C.P. Sethi
2065,13932,320,"Bhotahity, Kathmandu",Asmita Book,TEXT MATERIAL,Corporate Taxation in Nepal,"Dhakal, Kamal Deep; Ishwari P Bhattarai; Girija P "
1998,3558,197+ Other,New Delhi,Orient Longman,TEXT MATERIAL,An Outline of English Literature,G.C. Thornley | Gwyneth Roberts
1991,322,670,New Delhi,Prentice-Hall,TEXT MATERIAL,Purpose & Process:,Stephen Reid
2018,12391,81,"Bharatpur,Chitwan","Department of Physics,Birendra Multiple Campus",TEXT MATERIAL,Earthquake Activity in Westrn Nepal Region (1963-2016),"Basnet,Man Bahadur"
1987,971,1108,India,CBS Publishers & Distributors,TEXT MATERIAL,Modern College Physics,Harvey E. White
1977,2489,345,New Delhi,Vikas Publishing House Pvt. Ltd,TEXT MATERIAL,International Organisation,S.J.R. Bilgrami
2077,10883,334,Kathmandu,KEC Publication  Distributors,TEXT MATERIAL,Scripting Language,"Ramesh Singh Saud, Basant Chapagain"
1997,1752,180,"Bhotahity , Kathmandu",M.K. Publishers And Distributors,TEXT MATERIAL,The Magic of Words,Shreedhar P. Lohani | Rameshwar P. Adhikary
0,6084,227,India,Book Faith,TEXT MATERIAL,Himalayan Households: Tamang Demography and Domestic Processes,Thomas E. Fricke
1982,13847,135,Kathmandu,Institute of science and Technology,TEXT MATERIAL,"प्राकृतिक बिज्ञान संग्रालय पत्रिका vol.6, Nos1-4,1982",Tribhuvan University
1979,1818,976,New York,Newspaper Enterprise Association,TEXT MATERIAL,The World Almanac & Book of Facts 1979,George E. Delury
2000,8515,246,London,Lynne Reinner,TEXT MATERIAL,"Building Democracy in South Asia: India, Nepal, Pakistan",Maya Chadda
2014,9038,456,New Delhi,Pearson,TEXT MATERIAL,A First course in Abstract algebra,John B. Fraleigh
0,3948,267+Others,Calcutta,Charu Publishing Company,TEXT MATERIAL,A Short History of The Far East in Modern Times,Somendra Lal Roy
1971,3826,343,London,D.C. Heath & Company,TEXT MATERIAL,The Dynamics of Language Vol.4,Allan A. Glatthorn | Charles W. Kreidler | Ernest J. Heiman
2071,9559,57,"Bharatpur, Chitwan","Department of Sociology, Birendra Multiple Campus,T.U.",TEXT MATERIAL,""" Nepali samajma ekal mahilaharuo samajik tatha arthik abastha "" Nawalparasi jilla gaidakot nagarpalika ward no. 4 ma adharit samajsastriya adyayan",Devidatta Poudyal
2068,7502,636,"Bagbazar, Kathmandu",Ratnapustak Bhandar,TEXT MATERIAL,Ratna Brihat Nepali Samalochana: Saidantic Khanda,Rajendra Subedi | Dr. Laxman Prasad Gautam
2073,11032,74,Kathmandu,sajha Prakashan,TEXT MATERIAL,Tin ghumti,koirala Biseshwar Prasad
2020,13694,43,"Bharatpur, Chitwan","Research Management Cell, Birendra Multiple Campus",TEXT MATERIAL,"Assesment of traditional use pattern , current status and the quality of Tinospora cordifolia (Willd)mier of Chitwan District.","Sharma, Hari Devi"
1983,10388,490,New Delhi,S. Chand & Company,TEXT MATERIAL,Botany for Degre Students : Gymnosperms vol.5,P.C. Vashishta
1993,821,185,London,Everyman's Library,TEXT MATERIAL,Decline & Fall,Evelyn Waugh
2018,10259,757,India,Pearsons,TEXT MATERIAL,Introductin to Information Technology,Itl Education Solutions limited
2017,10049,44,"Bharatpur, Chitwan, Nepal","Department of Physics , Birendra Multiple Campus,T",TEXT MATERIAL,A Study of Bohm's Sheath Criteria for the formation of Plasma sheath,"Pandey ,  Sagar"
2067,5892,392,"Kathmandu, Nepal",Taleju Prakashan,TEXT MATERIAL,Business Economics (Byabasayek Arthashastra): ,Prof. Dr. Shyam Joshi
2054,6113,128,"Bhotahitiy ,Kathmandu",Bidhayrthi Pustak Pasal,TEXT MATERIAL,Nepali Ekankee,Khagendra Parsad Luintel
1998,691,595,London,Everyman's Library,TEXT MATERIAL,The Complete Short Stories & Selected Drawings,Evelyn Waugh
2013,7736,51,"Birendra Multiple Campus , Bharatpur, Chitwan",Department of English,TEXT MATERIAL,Existential Crisis in Earnest Hemingway's Winner Take Nothing,Kamala Devi
0,453,408,1965,New York,TEXT MATERIAL,Shakespeare's Imagery And What It Tells Us,Caroline F.E. Spurgeon
1980,3695,137,New Delhi,Vikas Publishing House Pvt. Ltd,TEXT MATERIAL,World Bank and India,C.P. Bhambhri
2006,2098,768,"Thapathali, Kathmandu",Ekta Books,TEXT MATERIAL,Statistics & Probability:,Hridaya B. Shrestha
2000,8349,279,China,"Lynne Rienner Publishers, Inc.",TEXT MATERIAL,China Under Jiang Zemin,Hung Mao Tien | Yun Han Chu
2009,6952,315,"Kathmandu, Nepal",Kishor Khaniya,TEXT MATERIAL,New Horizons in Education in Nepal,Tirth Raj Khaniya
2042,4597,183,"Kathmandu, Nepal",Nepal Rajkiya Pragya Pratishthan,TEXT MATERIAL,Shishirka Aantim Dinharu,Saru Bhakta
1968,5855,668,New York,New amerocan agency,TEXT MATERIAL,"Rockets Missiles, and Men in space",Willy Ley
2005,92,425,New Delhi,Wiley  India,TEXT MATERIAL,Fundamentals of Human Resource Management,David A. Decenzo | Stephen P. Robbins
1992,757,469,London,Everyman's Library,TEXT MATERIAL,Great Expectations,Charles Dickens
2070,8310,694,"Bhotahity, Kathmandu",Sukunda Pustak Bhawan,TEXT MATERIAL,A Text Book of Physics vol.1  : For B.Sc. 1st Year,Pitri Bhakta  Adhikari | Bhoj Raj Gautam | Lekha Nath Adhikari
2010,5413,996,"Kathmandu, Nepal",Mega Publication and Research Centre,TEXT MATERIAL,District Development Profile of Nepal - 2010/11,A Socio-Economic Development Database of Nepal
1996,1190,591,New Delhi,S. Chand & Company,TEXT MATERIAL,Environmental Biology:,P.S. Verma | V.K. Agarwal
1992,42,894  with Glossary,New Jersey,Prentice Hall Englewood Cliffs,TEXT MATERIAL,Financial Accounting,"Walter T. Harrison, Jr. | Charles T. Horngren"
1984,8416,556,Boston,Houghton Mieflin Company,TEXT MATERIAL,Microeconomics,Martin Bronfenbrenner | Werner Sichel | Wayland Gardner
2000,3937,,New York,John Wiley & Sons,TEXT MATERIAL,Advanced Fixed- Income Valuation Tools,Narasimhan Jegadeesh | Bruce Tuckman
2011,7331,401,"New Age International (P) Limited, Publishers",New Delhi,TEXT MATERIAL,Research Methodlogy : Methods and Techniques,C.R.Kothari
1994,984,454,New Delhi,Narosa Publishing House,TEXT MATERIAL,"Thermodynamics, Kinetic Theory & Statistical Thermodynamics",Francis W. Sears | Gerhard L. Salinger
2066,8753,126,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,Kabi Gobinda Bahadur Kaubayko Jibani Byktitwo ra Krititwoko Aadyayan,Janak Joshi
2045,3323,348,"Kathmandu, Nepal",Sirjana Pustak Bhandar,TEXT MATERIAL,Nepalko Arthsastra,Shankar Krishna Shrestha | Krishna Hari Banskota
1998,8419,138,New York,The World Bank,TEXT MATERIAL,East Asia The Road to Recovery,The World Bank
2014,12239,73,"Bhartpur , Chitwan","DEpartment Of Physics , Birendar Multipel Campus",TEXT MATERIAL,Analysis Of Seismicity Pattern Of Assam Great Earthquake And ItsAdjoining Region,"Khanal, Raj Sangharshh"
2008,4212,398,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,"Berkeley Physics Course, Vol.: 5: Statistical Physics",F. Reif
2018,10893,220,Kathmandu,Sunlight Publication,TEXT MATERIAL,Critical Readings in English,"Anju Giri, Tara Datta Bhatta, Anjana Bhattarai, Ba"
1988,4952,518,New York,John Wiley & Sons,TEXT MATERIAL,Fundamentals of solid State Physics,J. Richard Christman
0,4582,164,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Bhimsenko Aantya,Bal Krishna Sam
2010,7199,20,Bharatpur,"Department of Management, BMC",TEXT MATERIAL,"Loan Investment and Recovery of Rastriya Banijya Bank, Bharatpur, Chitwan",Sandip Koirala
2003,5702,152,Philandelphia,Chelsea House Publishers,TEXT MATERIAL,John Steinbeck,Harold Bloom
2009,5933,,"Kathmandu, Nepal",Department of Sociology,TEXT MATERIAL,"Theory, Method & Statistics In Sociological Research Vol. 4",Compendium
2018,10549,613,New Delhi,Oxford university press,TEXT MATERIAL,Managerial Economics:,Dominick Salvatore
2017,10595,808+xxv,India,Pearson Education,TEXT MATERIAL,Statistics for Managers,David M. Levine | David F. Stephan | Kathryn A. Szabat
2001,1686,126,London,York Press,TEXT MATERIAL,Selected Poems,T.S. Eliot
2000,4518,393,New Delhi,Rama Brothers,TEXT MATERIAL,History and Principles of Literary Criticism,Raghukul Tilak
2012,7322,834,New Delhi,S. Chand & Company,TEXT MATERIAL,Mechanics,D.S. Mathur
0,2533,162,2038,"Bhotahity, Kathmandu",TEXT MATERIAL,Bishow ka Chha mahan Rajnitigya,Pro. J.K. Mishra
1999,8430,409,Washington,The World Bank,TEXT MATERIAL,Tax Reform in Developing Countries,Wayne Thirsk
1986,6379,895,New Delhi,CBS Publishers & Distributors Pvt.Ltd.,TEXT MATERIAL,Instrumental Methods of  Analysis,"Hobart H. Willard | Lynne L. Merritt | John A. Dean | Frank A,. Settle"
2014,9170,37,"Bharatpur, Chitwan","Department of English, Birendra Multiple Campus",TEXT MATERIAL,Trauma: A State Apparatus for Political Repression in Rizal's Torture Killing Me Softly,Pitamber Bhandari
2069,8292,256,"Kathmandu, Nepal",Sangrila Books,TEXT MATERIAL,Lu (Upanyas),Nayan Raj Pandey
2043,6283,157,"Parbat, Nepal",Indira Sharma Poudyal,TEXT MATERIAL,Kumal Bhashako Adhyayan,Hira Mani Sharma Poudyal
2002,3316,500,New York,Irwin McGraw-Hill,TEXT MATERIAL,"Working Papers Volum 2, Chapters 13-26 for use with Fundamental Accounting Principles",Kermit D. Larson | John J. Wild | Barbara Chiappetta
2067,8954,167,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,Nepali narismalochnaka Prabriti,Ghanu Adhikari
2008,4763,814,New Delhi,PHI learning,TEXT MATERIAL,Financial Management Policy,james C. Van Horne
2010,7626,10.51+1.3,New Delhi,Tata Mcgrawhill com,TEXT MATERIAL,Schaum's outlines Complex variables,Murray R. Spiegel | Shishir Gupta
1992,8704,421,Delhi,Motilal Banarasi Das,TEXT MATERIAL,Shahitya Darpana,Shaligram Shastri
2066,9029,109,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,"Kabi Taraprasad Shresthako Jibani, Byaktitwo ra Krititwoko Aadyayan",Ganpati Bhattrai
2035,2689,288,Kathmandu,Neapl Rajkeeya Pragya Prathistan,TEXT MATERIAL,Karbanic Rasayan Shastra,Chhabi Lal Gajurel | Surendra Shing Khatri
2065,5296,55,,Bairagi Jetha,TEXT MATERIAL,Oh! Iranki Menaka,Rupak Banbasi
1989,175,338,England,Penguin Books,TEXT MATERIAL,Breathing Lessons,Anne Tyler
1974,5780,1278,"Chowk, Varanasi",Bhargava Book Depot,TEXT MATERIAL,Bhargava's Standard illustrated Dictionary of Hindi Language,R.C. Pathak
0,2466,136,"Janakpur, Nepal",Panchamukhi prakashan,TEXT MATERIAL,nepal in the theory & Practice of International politics,Tarakanta Jha
2069,9347,136,"Patan Dhoka ,Lalitpur, Nepal",Jagadamba Prakashan,TEXT MATERIAL,Itihasko ek kal khanda,Naba Raj Subedi
1977,4343,,New York,John Wiley & Sons,TEXT MATERIAL,Quantum Mechanics Vol.1,Claude Cohen-Tannoudji | Bernard Diu | Franck Laloe
2001,248,480,New York,W.W. Norton & Company,TEXT MATERIAL,Hard Times,Charles Dickens
2058,5858,318,Bhotahity Kathmandu,Biddarthi pustak Bhandar,TEXT MATERIAL,Bhautikshatraka Nobel puraskar bijeta,Harihar Poudel
2021,11051,348,Kathmandu,Samjhana Publication,TEXT MATERIAL,Organizational Behavior,"Biswakarma, Gangaram"
2012,8010,202,"Kaski, Pokhara",Polhara English literary forum Nepal,TEXT MATERIAL,A Textbook o Translation theories and Practices,Tirtha Raj Aryal | Nabaraj Neupane | Pitambar Paudel
2003,8710,72,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,Extent of Poverty in Chepang Community,Bikram Parajuli
2068,9631,221,"Kathmandu, Nepal",Heritage Publishers & Distributors,TEXT MATERIAL,"Population, Environment & Quality of life with reference to Nepal ( Janasankhya , Batawaran tatha Gunastariya jeevan)",Mahendra Prasad Sharma
2005,110,215,"Putalisadak , Kathmandu",Buddha Academic Publishers and Distributors,TEXT MATERIAL,Central management admission test :Cmat,Thanewhwor Gautam | Rajendra  Adhikari
2029,7977,528,"Kashi, India","Nagari Pracharini Sava,",TEXT MATERIAL,Hindi Sahitya Ka Itihas,Ram Chandra Shukla
